E,RH,LocalDateTime
5.8,0.85,01/01/1980 00:00:00
7.4,0.83,01/02/1980 00:00:00
7.6,0.81,01/03/1980 00:00:00
6.1,0.76,01/04/1980 00:00:00
5.5,0.83,01/05/1980 00:00:00
6.5,0.72,01/06/1980 00:00:00
5.2,0.84,01/07/1980 00:00:00
6.2,0.7,01/08/1980 00:00:00
5.7,0.87,01/09/1980 00:00:00
4,0.91,01/10/1980 00:00:00
5.1,0.82,01/11/1980 00:00:00
5.3,0.82,01/12/1980 00:00:00
4.2,0.9,01/13/1980 00:00:00
5.9,0.78,01/14/1980 00:00:00
5.6,0.84,01/15/1980 00:00:00
5.3,0.84,01/16/1980 00:00:00
6.6,0.81,01/17/1980 00:00:00
6.8,0.82,01/18/1980 00:00:00
4.5,0.83,01/19/1980 00:00:00
5,0.85,01/20/1980 00:00:00
6.5,0.82,01/21/1980 00:00:00
5.9,0.81,01/22/1980 00:00:00
6.4,0.72,01/23/1980 00:00:00
6.5,0.84,01/24/1980 00:00:00
5.3,0.82,01/25/1980 00:00:00
5.3,0.85,01/26/1980 00:00:00
2.6,0.95,01/27/1980 00:00:00
3.9,0.9,01/28/1980 00:00:00
6,0.9,01/29/1980 00:00:00
5.4,0.9,01/30/1980 00:00:00
5.8,0.91,01/31/1980 00:00:00
4.7,0.76,02/01/1980 00:00:00
6.9,0.72,02/02/1980 00:00:00
6.6,0.71,02/03/1980 00:00:00
6.4,0.73,02/04/1980 00:00:00
5.7,0.74,02/05/1980 00:00:00
7.6,0.66,02/06/1980 00:00:00
7.6,0.65,02/07/1980 00:00:00
9.3,0.59,02/08/1980 00:00:00
6.9,0.68,02/09/1980 00:00:00
6,0.68,02/10/1980 00:00:00
6.3,0.69,02/11/1980 00:00:00
6.1,0.69,02/12/1980 00:00:00
6,0.69,02/13/1980 00:00:00
6.1,0.66,02/14/1980 00:00:00
6,0.7,02/15/1980 00:00:00
6,0.68,02/16/1980 00:00:00
6.6,0.68,02/17/1980 00:00:00
6,0.69,02/18/1980 00:00:00
6.4,0.68,02/19/1980 00:00:00
8,0.63,02/20/1980 00:00:00
8.7,0.62,02/21/1980 00:00:00
8.4,0.59,02/22/1980 00:00:00
